20221103-051942:8,0.8
20221103-051943:8,2.9
20221103-051944:8,6.9
20221103-051945:8,1.8
20221103-051946:8,76.7
20221103-051947:8,69.5
20221103-051948:8,10.1
20221103-051949:8,82.1
20221103-051950:8,61.7
20221103-051951:8,2.5
20221103-051952:8,76.2
20221103-051953:8,65.2
20221103-051954:8,4.3
20221103-051955:8,63.3
